,CasevsHC_mic,CasevsHC_ast
MMP12,1.0,1.0
CD16,0.6905233202606492,1.0
CD115,0.20225514438550593,0.9511054245423046
TMEM119,0.18414151115877891,0.8562072051301642
MMP9,0.1664689475337885,0.5942278841356936
FCER1G,0.0,0.5538133336918488
FCRLS,0.0,0.5538133336918488
CD40,0.0,0.43800745346913855
APOE4,0.0,0.08029611402153689
TSPO,0.0,0.0
SLC2A5,0.0,0.0
P2Y12,0.0,0.0
CX3CR1,0.0,0.0
CD45,0.0,0.0
CD11B,0.0,0.0
CD14,0.0,0.0
CD68,0.0,0.0
FIZZ1,0.0,0.0
ARG1,0.0,0.0
CD80,0.0,0.0
