,NMF_0,NMF_1,NMF_2,NMF_3,NMF_4,NMF_5,NMF_6,NMF_7,NMF_8,NMF_9,NMF_10,NMF_11,NMF_12,NMF_13,NMF_14,NMF_15,NMF_16,NMF_17,NMF_18
VCAM1,0.0,0.0,0.0,0.0,0.0009091661757101817,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0005551467997664565,0.05954333247772738,0.0,0.0,0.0,0.0
AC114485.1,0.0,0.0,0.023334674791907366,0.0,0.014688507773940419,0.0,0.0,0.0014756274190040233,0.0,0.0,0.0005472144324041691,0.0,0.0,8.906651910830752e-05,0.0,0.02302482389346724,0.0,0.0,0.0
AL355306.2,0.00014782613983071438,0.005562612556216711,0.00015454054253688897,0.0,0.0039448773209393665,0.0009994088060182502,0.00010827376091643365,0.0,0.0005048220402198289,0.0,0.00018357415044586926,0.0,0.0011497621139775279,0.000201228372498096,0.0,0.0011224063192938674,0.001162200049601319,0.00018142976848612403,0.0
NTNG1,0.06423982865157819,0.24936426145533183,0.0,0.0,0.10097151286658493,1.4034495662611968,0.3931838005597442,0.0,0.0,0.0,0.08310365551175185,0.0,0.005081909456821801,0.0,0.04675172335900906,0.0,0.0,0.0,0.0
VAV3,0.17988191045457821,0.02505778838588526,0.0,0.0,0.034234986184135674,0.03009596115972473,0.05754184944948702,0.0,0.0013806952757747651,0.0,0.0306197476656668,0.0,0.10441481907168602,0.0,0.0,0.0,0.023230666230889457,0.0,0.0
AHCYL1,0.07493277910564718,0.04780323707159613,0.016052479815461953,0.04282294356502487,0.2812191830537675,0.1333482668062747,0.05655986032163893,0.0,0.04698225357258858,0.14936446016294594,0.0586536124843984,0.01490066338207008,0.18075977862590117,0.000519325560923597,0.09289603545468594,0.12373670404400129,0.14256543170628666,0.019837428678996797,0.06293733680353629
CD53,0.0,0.0,0.0,0.0,0.004111090492680496,0.025737714939183764,0.0,0.0,0.20802420964712132,0.0,0.023237487582925268,0.0,0.0,0.0,0.0,0.0,0.052755845963139994,0.0,0.0
CHI3L2,0.0003297271876468736,0.0001586646199292612,0.0,0.0,0.005276385435547951,9.379715109114269e-05,0.0,0.0,0.0013683495825164912,0.0,7.288141328806933e-05,0.0,0.0005911421195902087,0.0,0.0011088961861216106,0.0019402158220905902,0.00012465457194851733,0.0,0.0
TMIGD3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08215880318705249,0.04161995687502381,0.0,0.0,0.0,0.0008109519087333808,0.0,0.028118175209512798,0.0,0.0,0.0
SLC16A1,0.02228867599895333,0.006494901491585442,0.0,0.0,0.0,0.02498179946156817,0.023365524921933514,0.009115266521517874,0.0022126316058078918,0.19520901408566324,0.005433094103750989,0.008168031419337746,0.0013256163886817165,0.0,0.24198846401643617,0.06841046556568925,0.030078144392351597,0.01292459680229804,0.0
SYT6,0.0,0.008106915957549258,0.0,0.0,0.0,0.0,0.02658304837913106,0.0,0.07392290783898123,0.0,0.0014784750614587419,0.0,0.0,0.0,0.0,0.0,0.0,0.009488976391187594,0.0
AL121999.1,0.0,0.0,0.0,0.0,0.0010336834116240594,0.0,0.0,0.0008611534556586793,0.0254165943591529,0.0,0.0,0.0,0.0,8.009326448028463e-05,0.0,0.0,0.0,0.0,0.0
TBX15,0.0,0.0004796474052586324,0.0,0.0016158458570050137,0.0,0.0,0.0,0.0,0.0,0.0,0.00017330580002741078,0.0,0.0006364933113183545,0.0008280597610881938,0.06490572320876876,0.00039539710043910205,0.0007740327406336472,0.0,0.0013897771744404326
FCGR1B,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05612928636374372,0.0,0.0,0.0,0.0,0.0006114656465301167,0.0,0.0,0.0,0.0,0.0
AC244021.1,0.020181667970283913,0.0012011644904310617,0.0,0.0,0.2859579428037463,0.0,0.006800309466175522,0.0,0.08121410126660973,0.0,0.0,0.0,0.0,0.0569547813619411,0.0,0.010231877508604714,0.0,0.0,0.0
LINC01632,0.020636730967128265,0.0,0.0,0.0,0.16666999383993492,0.0,0.0,0.0,0.0,0.0,0.0,0.0032926754349167356,0.0,0.020220949526876864,0.0,0.0,0.0,0.002822821907593723,0.0
FP700111.1,0.0025325542112782365,0.0,0.0,0.0,1.8535450287122013,0.004836650828433024,0.018365631449749568,0.0,0.0,0.0,0.0,0.001585847106871303,0.0,0.046507787371249124,0.0,0.05493112352089426,0.007244411244112021,0.019346946558451702,0.0
SRGAP2B,0.11545264128699136,0.016109498228904933,0.0,0.0,0.2084470731899114,0.06319391363602608,0.10541745392534359,0.0,0.40855877369196525,0.0,0.02685461127395344,0.06700210490987532,0.0,0.0,0.16819431932670725,0.018525194835297014,0.05732843850752475,0.027717491942621734,0.0
TXNIP,0.0,0.04723451739940195,0.043056032045881966,0.0,0.012756016611123768,0.0,0.0,0.0,0.08816314572626899,0.3624041707705265,0.0,0.0,0.023919765244695818,0.02142059473768117,0.28664815135343497,0.30652984384009097,0.0,0.0,0.0653959559553245
FCGR1A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07883349652761555,0.0,0.0,0.0,0.0,0.001410395873810772,0.0,0.0,0.0,0.0,0.0
S100A10,0.0,0.0012814022573231743,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007524157282221692,0.13472949601691322,0.0002378727327208314,0.0,0.0,0.0
S100A11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02442346621625195,0.0,0.0,0.0,0.0,0.00964263249720931,0.1044091929660033,0.0005190769551729714,0.0,0.0,0.0
S100A9,0.0,0.00014863398584939296,8.026720389717517e-05,0.0001912481526519788,0.0034689809317875516,0.0,0.0,0.0,0.005752228407127885,0.0,0.0,0.0,4.40449140076594e-05,0.0020324173364516442,0.003142691578023762,0.0035185356322977677,0.0,0.0,3.175480438797771e-05
S100A8,3.000123150436401e-05,0.0,0.0,0.0,0.0017285477410468968,0.0,0.0,0.0,0.006235927624560789,0.0,0.0,0.0,0.00013000288867153102,0.0020369754327561533,0.0027300086896545213,0.003940127779780984,0.0,0.0,0.0
MNDA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06260991945796103,0.0,0.0,0.0,0.0,0.0,0.010151043695369392,0.0,0.0,0.0,0.0
IFI16,0.0,0.04569604731065332,0.019263386007248837,0.0,0.008171352969692658,0.0,0.012674863296651484,0.0,0.299525988489126,0.20367108289441896,0.0016632610538312685,0.0,0.002942735883712262,0.005452225206735566,0.23039288132746966,0.09845286761025474,0.0,0.0,0.05256599912852179
ACKR1,0.003123742613177406,0.0,0.0,0.0010775836918601222,0.025829121490640858,0.005043930616955049,0.0038063574885782796,0.0,0.0,0.0,0.004552317614678913,7.707856309047571e-06,0.0,0.0030667209787467098,0.030967690767850727,0.0,0.006489811887392716,0.0005760487997130867,0.0
TAGLN2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0003505636666997427,0.0,0.0,0.0,0.006418312863684172,0.18878350757792411,0.0116445181578725,0.0,0.0,0.0
