,NMF_0,NMF_1,NMF_2,NMF_3,NMF_4,NMF_5,NMF_6,NMF_7,NMF_8,NMF_9,NMF_10,NMF_11
0,0.4433397485155665,0.19776400183863937,0.25764074134401066,0.10155320118422466,0.07281339102255165,0.19970135247773205,0.6055534621290909,0.32062224338120326,0.09627214485429275,0.15990660501287188,0.15268459142279975,0.5250184346922454
1,0.5356707846952925,0.33879307582321033,0.6386512536930895,0.411701106934226,0.03913240040257244,0.36520703465060717,0.0,0.17623411909461553,0.16179448778285138,0.0,0.07633770940503344,0.3963839533003669
2,0.4433956732745092,0.15578664504388803,0.369549866284981,0.5495649244502636,0.21203331075086934,0.19411135117959422,0.27509614494999624,0.17241852622162981,0.03978513779809885,0.24077635507993875,0.0964575476607815,0.14950164245461983
3,0.17448906153353277,0.0981177673844148,0.05916822082377057,0.529440469300727,0.006441285847908104,0.23405500095598455,0.40012716376352386,0.07310998063560163,0.2930118211280373,0.24323928135975617,0.3877647261893617,0.5062833053423736
4,0.6512124403617368,0.08605798166454552,0.48289773880635345,0.701969407294635,0.07775838964187554,0.47914424107801284,0.3561828761605967,0.06029556953425132,0.14126543873280187,0.03684560283890071,0.03542008056867442,0.32423829417412353
5,0.5821085161802549,0.19424045455724087,0.7782010547668791,0.14951851419703724,0.22871944230291366,0.08437759410667107,0.19942535200829226,0.1563616657076982,0.35569736311352973,0.1240484251307159,0.2427761868891933,0.5248958296382925
6,0.597402939667454,0.13899440070423252,0.4386673944241459,0.33743283953878256,0.5119958012443574,0.13800369424236147,0.2315229172016637,0.13123596096889442,0.4402568662155503,0.15813644527031293,0.20319924559191588,0.08546293715289079
7,0.6082920521463668,0.40957204739019687,0.9792260247866456,0.07658680270432046,0.207876482156048,0.12408687669166994,0.3127728520077425,0.03892674023799058,0.2573281432449728,0.03881189589195047,0.521489392475345,0.45343492538855135
8,0.24191930457482136,0.0,0.4670923879886256,0.6032729215222796,0.1495594581693556,0.23888844876518275,0.16987059621428735,0.0745034237129224,0.6055049422267352,0.28441684542268025,0.35146796814910974,0.27310720364168634
9,0.6910023724745306,0.1059885127436853,0.5411292869457058,0.2171196942815776,0.3853570279480604,0.31024232009801295,0.3929248647839348,0.030822090198089302,0.3919123439183894,0.22418064577159244,0.12245675532909149,0.09271054865659469
