,NMF0,NMF1,NMF2,NMF3,NMF4,NMF5,NMF6,NMF7,NMF8,NMF9,NMF10,NMF11,NMF12,NMF13,NMF14,NMF15,NMF16,NMF17,NMF18,NMF19
CD11B,0.752260048513694,0.0,139.70253153365582,3.513275342633489,0.0,0.0,0.0,0.0,284.4118336459006,0.0,172.44364135417726,0.0,0.7134705545908293,145.04003373817667,19.3270763450965,56.35885852296533,0.0,16.24300233774643,0.0,47.774303956540585
CD14,10.05841700889891,9.053132239169868,9.290424520643173,8.58511890470591,10.102818818714516,8.012524056167878,1.3353233295196503,6.2560976809449445,0.0,0.008408006214292517,5.049999815511881,1.5472412140176748,0.10092352959851625,0.0,7.77700392947536,1.5726557671752932,0.0,0.366371899311387,5.084345888589672,0.3069234916408852
CD16,0.0,21.945014881719576,0.0,0.0,86.57561421060869,44.61363347111237,39.78250588841769,0.0,6.5712487710333,12.722906926278759,72.03068700135304,11.161343558450767,0.05562985411260976,13.077518618890272,1.458445050899188,2.2473402284608825,0.0,52.98625197992739,0.0,0.0
CD40,6.076326118956678,13.455682867026036,0.0,0.0,0.0,0.18474996072576047,0.0,49.255776968977074,15.59352529433032,17.34600338841226,36.93770353506151,56.14965311708057,10.689059539228824,0.0,11.75732158791047,17.85445979845775,59.0462961066884,0.05552572164779795,0.4387963379605271,0.0
CD45,7.90147158989052,3.0663857068559324,0.4412208411704633,0.10992632097062265,0.18729393240548156,0.0,0.0,0.0,0.0,0.0,3.8995361430995628,0.0,12.15578509441613,2.2669155912945587,0.0,0.6138174196687581,1.3589896198594171,6.326913361805333,7.596876352610874,10.363705938864946
CD80,1.0495596018194022,12.640829134852488,5.774188231783586,0.0,19.623651997798373,26.83763358177318,30.935715582977984,64.58898190363284,95.69814527673495,0.0,0.0,84.74035574841528,28.347901740006908,41.613990224253634,0.7671315396217027,11.190917044515423,3.250709622333391,45.54104354576823,34.12180189137777,0.0
CD68,0.0,0.0,2.3770530973407933,20.899531479139995,3.048290584505977,6.1614941421659095,25.172601595905682,0.0,2.7304155504679866,15.07031362930897,23.251928593986122,16.828509066377677,14.290966512795633,5.568072546585723,13.422281916501424,17.40189023122058,25.26942000187591,0.9495498252203166,16.847708089927682,0.4570873188969794
CD115,15.683106937758385,15.297975659797512,13.819107708924761,25.085920056246316,19.919308747171556,13.77150909406712,0.0,0.07580031009162799,0.0,1.041291320384097,4.290080576272013,0.947828482579683,2.6564403736843043,2.185483445133781,0.0,0.40895972432341227,0.4888686712309159,0.0,5.852023854778706,2.6341766400428313
CX3CR1,25.8990763594843,16.049424674259154,0.0,33.48164079987946,17.91847419834247,4.252185226992479,11.302883076568472,0.0,52.971960026087295,33.23324217668501,0.0,3.8383347568693598,8.618281450769214,6.449054891078882,14.000028372743408,9.37967153275815,21.300985636625953,8.050661738609428,0.0,0.0
TMEM119,109.19285209904356,158.04539013214819,554.5993864247129,318.8337834695447,262.24118129570445,0.0,723.3916672019857,810.9428098878443,307.9196351048152,375.59693327891034,31.26535319164332,121.97461672777011,1090.6655281163412,221.0901256735098,541.4427819052348,376.45612798395837,0.0,830.9233502552607,0.0,448.26306593742817
FCER1G,0.0,74.02550361224996,35.7245483830299,0.0,53.44307826720261,0.0,1.1696581606360819,0.0,0.0,34.863756096956976,0.0,0.007793008472906119,47.50206561109933,6.555105342216534,31.775337577722574,5.175852941365001,31.80440498084801,0.0,60.42622695830717,11.349149958518856
FCRLS,101.81426699156704,64.88771431486323,98.96107591758127,27.42608655239669,0.0,3.598695923915042,0.0,48.63284778236873,0.0,111.21282566276315,9.099521577088106,79.61171444220663,0.0,46.873905825551965,27.497331813365072,0.0,27.371262649761764,45.83820171449682,68.82769189220497,0.0
SLC2A5,1.6045679105075374,2.8535846729100647,3.1260356813699564,2.1768858679119174,2.425204570595908,4.586406032407621,0.0,0.36060437701974885,1.4660855421254648,2.5161684038350236,0.9397612582836966,2.3185480902788393,3.179317267589126,2.1775740988101955,2.6808905212506304,2.254449965913231,1.6135743816659394,2.250612080069332,0.9325834154183988,2.313386593638241
P2Y12,0.0,0.0,0.0,17.288164538432994,21.631823193439935,139.4527284474658,0.0,306.67345823852474,0.0,73.58298268501046,3.989157115275249,18.2139287385956,41.421978850523885,153.55223165692541,58.9515951026752,91.29616438378923,7.817496184515784,124.98883251956788,41.56959062911767,10.922810487818568
TSPO,2.808595402576746,5.540630968933285,6.82257770765541,6.925179754737912,4.604309315405731,7.614018321045929,9.984947680060515,3.5576026268740155,3.1137800337008654,0.0,0.0,0.0,0.0,2.335865799031046,5.778188231974919,0.0,10.35781900939956,7.016145330955047,0.0,0.6564624591568471
ARG1,0.0,5.2933332288857,0.0,32.05316967306189,0.0,20.219709458037745,63.91483889627794,0.0,37.19547224146422,68.9716825537965,5.085812277268239,36.6689869240381,0.0,2.7748623453490557,25.14431813215693,17.990207564994797,0.0,81.20726851916395,79.95953422133664,112.48415520430547
FIZZ1,13.293292629458131,19.4738276495654,0.0,1.5926863906628688,13.481966115639032,0.0,7.8487101348824515,1.2262292426129757,0.0,0.43619619361457546,1.7828248599461416,29.157451959120028,0.0,32.388266310509174,13.101917784366565,23.728485074464558,3.3052888998962615,7.057191384514379,0.0,46.932498732573215
MMP9,24.417902869165896,0.0,32.14061749775155,0.7396700232338548,21.2595985672995,17.1883738144048,34.13469316293638,0.0,17.338185518981515,0.8413316318415254,0.0,0.0,0.0,7.292104419346895,25.697180050293216,33.00812138638856,52.418526898946936,2.3647026208306543,43.90639401848265,12.078428348386582
