,NMF0,NMF1,NMF2,NMF3,NMF4,NMF5,NMF6,NMF7,NMF8,NMF9,NMF10,NMF11,NMF12,NMF13,NMF14,NMF15,NMF16,NMF17,NMF18,NMF19
CD11B,3.228257681947758,0.0,9.339300854721303,4.929673827893935,4.5333735873320595,0.0,0.0,4.154147863092328,0.0,0.8338980209361389,5.941829385618213,0.0,0.0,5.311334006692074,1.1981238657215498,1.1775725246745554,2.7917770141294986,5.068707656577225,0.0,1.6650164410535324
CD14,10.844731616519649,13.226552811027176,15.603062939674512,11.788005938092637,16.017700639392547,9.309170538018853,0.7267348026766555,0.0,0.0,0.0,1.4688928825810355,3.242136214411585,0.07694408768978976,0.0,0.0,0.8382708476104762,0.0,0.0930552347589671,1.2283795186133357,4.530487583936175
CD16,0.0,0.0,153.8192630501198,110.58183098623832,445.43658079740226,0.0,34.75071700081983,441.3479125915718,558.4601923918813,352.01260967342165,0.0,0.0,193.23742563468358,251.2950648375621,85.92819409655918,61.93449241585911,20.358012662185924,120.10454769235659,301.35446305569116,79.02423222437304
CD40,9.111155788965174,0.0011639053282189364,0.11650789364152415,6.519685780733837,0.0,6.528912867167799,7.1803484749901,0.015724183969744857,9.785707591868878,2.393432831651099,0.556183792384765,0.0,10.118967859933251,8.096712203862712,23.275923310443588,0.5400236675841354,0.0,0.0,0.0,0.0
CD45,11.386941196117705,0.0,0.0,15.354553003423526,12.189238109409727,7.48868808362835,0.0,0.0,0.0,8.214074521966749,0.0,4.294180890997621,6.13406164980321,5.2678764601124435,0.0,13.425045782199094,7.312896297318333,12.279525566155279,0.0,1.140051810265438
CD80,60.69028434445813,20.48188818399911,0.0,20.744326509133966,10.418297822980286,13.19462095933437,0.0,30.53775261970849,151.77063815820375,9.974576921006319,0.0,109.63594390267444,0.0,0.3949519380351551,55.67287864987952,5.670160614196729,31.128123823446504,73.47152440870931,23.470732907114808,0.0
CD68,0.0,8.328276737869746,3.4491156381974024,0.00428596835984225,0.23166526668853551,0.0,4.526794192383084,1.623386210156605,0.0,0.0,0.0,3.001812946650814,1.2114172019391152,2.5362319492051837,0.0,0.0,0.6342547959088088,4.434137701925851,0.0,5.179942469912022
CD115,13.44628417787255,6.137585311569839,0.0,14.514736162995975,4.179590187825435,6.354123623702519,19.150711006154303,10.582359624390573,14.947008856277646,2.102451698703039,14.478110593383487,0.0,0.0,8.954736899361007,0.5768483438978086,17.471903938081972,17.09536774039338,4.298681802260253,0.0,14.875437379721497
CX3CR1,13.664640644421294,1.3750549444211482,0.0,2.3566237085331405,0.0,0.45341726614196454,0.0,37.978791071871385,0.0,0.0,0.0,16.68049190717539,0.0,0.845859657718048,0.0,1.9441301130928255,2.1217554717267246,0.0,0.4047820254670603,0.18063064219944125
TMEM119,0.3010034054683672,3.5277288340508846,1.315909426704838,7.138888559766173,0.0,0.0,0.2110861216730625,3.2758100173600524,4.308361369712774,1.5574325977133063,8.651904115775434,23.03961127204025,6.598223496792425,12.355936787226122,12.687912348592604,9.598850401311584,8.56352423236522,2.0716912778547742,2.9641955654445185,0.0
FCER1G,3.4916806670547746,0.0,0.0,31.337613257564616,2.6045113140957983,0.0,0.0,7.028502438749818,0.0,6.292844660823922,33.46513006374938,0.0,0.0,0.0,50.915642865961466,23.223765829731065,21.521340729817158,53.775265990488194,78.97722419920392,86.59282465178964
FCRLS,379.59183164137556,352.10896500132907,0.0,0.0,53.03685989683488,330.0297608665329,0.0,448.0717849041561,96.65346067476433,1176.5715099087913,204.1070005903422,110.72099521055978,0.0,796.4589174603074,685.43157360185,29.326092545637472,143.20574997508902,12.62512730318061,4.615245962998554,906.1176626748156
SLC2A5,1.7408300685273776,2.155421069024978,1.2235167287484603,2.417244755751906,2.0805337102558004,3.4226451305660643,1.7042051001770984,1.345365850202433,1.5657093999803768,0.9565321395276456,2.5482788348662218,0.78100924005318,1.709706826221439,1.8205559582786488,1.368014079798481,1.030182988984823,0.7853157146311945,2.9706438498028676,1.5428145725937,0.887965252226616
P2Y12,26.34603933291205,0.0,0.0,0.005771199165068903,5.0014979940213395,8.328088805346106,48.648098318950304,0.0,14.63668970602395,0.0,0.38545930334373973,20.200175380436516,0.25224883644212415,39.701406595941464,0.0,11.753215226032193,9.109233560261249,0.0,81.4691439425657,20.280111456732783
TSPO,2.164118392690838,2.5326039095404553,1.9892892914846452,2.708645839874542,1.896256343212224,2.063587960551584,0.4831289548479891,0.20539467148879662,0.22223851292301153,0.3539237309800875,1.9849276722423925,1.2060049791096499,1.3148886222040064,0.7538635321842301,0.0,0.0,2.979199134894019,0.0,0.2252023193418772,0.8341458511714162
ARG1,2.183728753205965,5.544248987966166,6.949389262552627,1.1401671761724927,0.6465611549226944,5.964345421372557,7.812471163210513,5.888112213751928,2.1573130787580896,10.735187151093674,3.4115747006028037,0.0,0.24294585550380973,1.3082382920713747,0.08135338728540507,4.910504809501623,3.704166334495278,5.083292452052744,10.478908385185418,0.0
FIZZ1,24.37383293939481,37.686829427502936,35.47157930893131,0.0,63.10348069848977,4.184218879426478,17.585002542244542,1.657310755599924,7.372138029253737,0.0,28.38143786066309,0.0,41.74765410572797,12.472207027974434,12.667183371806043,23.411462056815,26.542412261838997,17.000963262530313,0.5590923933328705,15.824856964482574
MMP9,8.187598472545684,4.644650042983234,12.157301731692735,6.181026460985887,0.0,3.0999392694954735,0.0,1.22293282202277,11.617002417576074,15.280551701681633,13.465742179296242,0.0,25.735865697157973,1.8945646378371321,0.1583533600936325,6.788995756514114,0.0,5.412902476573659,1.7665729386618687,17.023174964455176
MMP12,1.0337222962768482,0.0,4.589486519673976,4.270538537930565,7.2734880195267575,5.381039529902097,23.7117919045142,9.719935492926933,0.9094384875667285,7.076463690498545,5.525574784069084,17.36195676073778,3.813220432900648,0.17832634799883942,16.49410859459899,5.4667957326119305,7.364115296208003,2.684090586130167,3.1954396240332996,6.098874711533022
APOE4,0.0,21.514362213199664,9.845387359134644,8.00123641038354,0.0,59.89477580751058,0.0,21.421330800429967,26.611409585414773,4.599033724746903,0.0,11.473576824879702,45.68733770973181,12.170269389491663,18.40773391254239,56.89047944330874,67.25262169637044,4.2775998213041015,2.7386675755589183,8.738685720690247
